Source	Target	Type	Weight	8	12	10	6	7	weight	timeset	19	9	id	13	11	label	16	14	15	18	17
17lzZA2AlOHwCwFALHttmp	5K4W6rqBFWDnAN6FQUkS6x	0	6.0	Undirected	Kanye West	6	1	841	6.0	null	day	59	22	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	0Y5tJX1MQlPlqiwlOH1tJY	0	4.0	Undirected	Travis Scott	4	1	10	4.0	null	day	36	23	6	2 Chainz	null	true	2nBI3iWLhupR7LyAJ5GGkE	Champions	10/06/2016	71
17lzZA2AlOHwCwFALHttmp	6vXTefBL93Dj5IqAWq6OTv	0	4.0	Undirected	French Montana	4	1	8	4.0	null	day	28	24	5992	2 Chainz	null	true	6h5yOjQNDaLZ0rW2OGoXTB	Turn Down for What - Official Remix	19/05/2014	52
17lzZA2AlOHwCwFALHttmp	1mXAhKnZEdF6rotyyd4GBi	0	2.0	Undirected	MC Kevinho	2	1	1500	2.0	null	day	27	25	4	2 Chainz	null	false	5RBW30fFFVav2n0IqFj0fY	Olha A Explosão - Remix	27/04/2018	77
17lzZA2AlOHwCwFALHttmp	5IcR3N7QB1j6KBL8eImZ8m	0	2.0	Undirected	ScHoolboy Q	2	1	50	2.0	null	day	20	26	3	2 Chainz	null	true	4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	09/02/2018	78
17lzZA2AlOHwCwFALHttmp	5ZS223C6JyBfXasXxrRqOk	0	2.0	Undirected	Jhene Aiko	2	1	6	2.0	null	day	8	27	2	2 Chainz	null	true	6H0AwSQ20mo62jGlPGB8S6	It's A Vibe	16/06/2017	78
17lzZA2AlOHwCwFALHttmp	2iojnBLj0qIMiKPvVhLnsH	0	2.0	Undirected	Trey Songz	2	1	5	2.0	null	day	7	28	2	2 Chainz	null	true	6H0AwSQ20mo62jGlPGB8S6	It's A Vibe	16/06/2017	78
17lzZA2AlOHwCwFALHttmp	7c0XG5cIJTrrAgEC3ULPiq	0	6.0	Undirected	Ty Dolla $ign	6	1	4	6.0	null	day	6	29	10600	2 Chainz	null	true	430Bl42cdlGIWqagDm38sc	Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)	20/10/2017	58
17lzZA2AlOHwCwFALHttmp	0VRj0yCOv2FXJNP47XQnx5	0	8.0	Undirected	Quavo	8	1	3	8.0	null	day	1	30	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	3TVXtAsR1Inumwj472S9r4	0	4.0	Undirected	Drake	4	1	2	4.0	null	day	0	31	153	2 Chainz	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
3TVXtAsR1Inumwj472S9r4	0A0FS04o6zMoto8OKPsDwY	0	4.0	Undirected	YG	4	2	16	4.0	null	day	23133	32	10576	Drake	null	true	1uDjaezEbalGyGnuH80zDK	Who Do You Love?	01/01/2014	67
3TVXtAsR1Inumwj472S9r4	0NbfKEOTQCcwd6o7wSDOHI	0	2.0	Undirected	The Game	2	2	1998	2.0	null	day	21693	33	9550	Drake	null	true	46MFlm7p0Vqd0eXmLtDlN4	100 (feat. Drake)	09/10/2015	55
3TVXtAsR1Inumwj472S9r4	5lwmRuXgjX8xIwlnauTZIP	0	2.0	Undirected	Romeo Santos	2	2	1616	2.0	null	day	19858	34	8339	Drake	null	false	1iLv1ieT9BZ3qsti9yTCnG	Odio	25/02/2014	72
3TVXtAsR1Inumwj472S9r4	6vXTefBL93Dj5IqAWq6OTv	0	2.0	Undirected	French Montana	2	2	8	2.0	null	day	19630	35	8214	Drake	null	true	0nq6sfr8z1R5KJ4XUk396e	Stay Schemin	10/04/2012	61
3TVXtAsR1Inumwj472S9r4	2HPaUgqeutzr3jx5a9WyDV	0	4.0	Undirected	PARTYNEXTDOOR	4	2	1290	4.0	null	day	18692	36	7616	Drake	null	true	5wUUWVRvrciJqFitZF8R0P	Recognize (feat. Drake)	29/07/2014	67
3TVXtAsR1Inumwj472S9r4	5pKCCKE2ajJHZ9KAiaK11H	0	2.0	Undirected	Rihanna	2	2	471	2.0	null	day	17860	37	7064	Drake	null	true	739vCwA3EpBSkk3uDsI2wB	Lemon - Drake Remix	18/03/2018	79
3TVXtAsR1Inumwj472S9r4	6oMuImdp5ZcFhWP0ESe6mG	0	2.0	Undirected	Migos	2	2	472	2.0	null	day	17449	38	6790	Drake	null	true	6n4U3TlzUGhdSFbUUhTvLP	Walk It Talk It	26/01/2018	87
3TVXtAsR1Inumwj472S9r4	20sxb77xiYeusSH8cVdatc	0	2.0	Undirected	Meek Mill	2	2	750	2.0	null	day	17260	39	6633	Drake	null	true	0Y0TOsE1q11qgbi7c5WZsG	R.I.C.O. (feat. Drake)	29/06/2015	73
3TVXtAsR1Inumwj472S9r4	0hCNtLu0JehylgoiP8L4Gh	0	2.0	Undirected	Nicki Minaj	2	2	33	2.0	null	day	15903	40	6040	Drake	null	true	7KcGEssn7BnJdTgildK5y0	No Frauds	10/03/2017	68
3TVXtAsR1Inumwj472S9r4	7dGJo4pcD2V6oG8kP0tJRR	0	2.0	Undirected	Eminem	2	2	772	2.0	null	day	15885	41	6038	Drake	null	true	5UsLjwBaTHBX4ektWIr4XX	Forever	15/05/2009	66
3TVXtAsR1Inumwj472S9r4	5K4W6rqBFWDnAN6FQUkS6x	0	2.0	Undirected	Kanye West	2	2	841	2.0	null	day	15883	42	6038	Drake	null	true	5UsLjwBaTHBX4ektWIr4XX	Forever	15/05/2009	66
3TVXtAsR1Inumwj472S9r4	13y7CgLHjMVRMDqxdx0Xdo	0	4.0	Undirected	Gucci Mane	4	2	11	4.0	null	day	9661	43	3988	Drake	null	true	3VCYe6mCXebBgcfzaxCVNI	Both (feat. Drake & Lil Wayne) - Remix	14/04/2017	70
