Id	eigencentrality	1	0	2	3	eccentricity	betweenesscentrality	timeset	5	4	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
5s6TJEuHTr9GR894wc6VfP	0.0	Emmylou Harris	140	56	140829	0.0	0.0	null	5s6TJEuHTr9GR894wc6VfP.jpg	country rock, folk, folk rock, folk-pop, lilith, melancholia, mellow gold, nashville sound, roots rock, singer-songwriter, traditional country, traditional folk	0.0	5s6TJEuHTr9GR894wc6VfP	0	0	0.0	90	5s6TJEuHTr9GR894wc6VfP	0.0	0.0
0uNC9XuH437fKCCMuzvSks	0.0	Ricky Skaggs	141	45	34377	0.0	0.0	null	0uNC9XuH437fKCCMuzvSks.jpg	bluegrass, country, country gospel, country rock, nashville sound, old-time, progressive bluegrass, traditional country	0.0	0uNC9XuH437fKCCMuzvSks	0	0	0.0	91	0uNC9XuH437fKCCMuzvSks	0.0	0.0
1pTuR132U5b4Rizal2Pr7m	0.0	Randy Travis	142	59	399142	0.0	0.0	null	1pTuR132U5b4Rizal2Pr7m.jpg	contemporary country, country, country gospel, country road, country rock, nashville sound, outlaw country, traditional country	0.0	1pTuR132U5b4Rizal2Pr7m	0	0	0.0	92	1pTuR132U5b4Rizal2Pr7m	0.0	0.0
2sxmKe3CUrWnx7eoXMhOlW	0.0	Dwight Yoakam	143	56	182572	0.0	0.0	null	2sxmKe3CUrWnx7eoXMhOlW.jpg	country, country rock, nashville sound, outlaw country, texas country, traditional country	0.0	2sxmKe3CUrWnx7eoXMhOlW	0	0	0.0	93	2sxmKe3CUrWnx7eoXMhOlW	0.0	0.0
2H5elA2mJKrHmqkN9GSfkz	0.0	Gillian Welch	144	52	94117	0.0	0.0	null	2H5elA2mJKrHmqkN9GSfkz.jpg	alternative country, country rock, folk, folk rock, folk-pop, indie folk, lilith, melancholia, new americana, progressive bluegrass, roots rock, singer-songwriter, stomp and holler, traditional folk	0.0	2H5elA2mJKrHmqkN9GSfkz	0	0	0.0	94	2H5elA2mJKrHmqkN9GSfkz	0.0	0.0
2zgG1GPDvjaBgxeQaVXI14	0.0	All That Remains	145	59	474932	0.0	0.0	null	2zgG1GPDvjaBgxeQaVXI14.jpg	alternative metal, groove metal, melodic death metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock	0.0	2zgG1GPDvjaBgxeQaVXI14	0	0	0.0	95	2zgG1GPDvjaBgxeQaVXI14	0.0	0.0
46gyXjRIvN1NL1eCB8GBxo	0.0	All Time Low	146	69	1646187	0.0	0.0	null	46gyXjRIvN1NL1eCB8GBxo.jpg	modern rock, pop punk, post-teen pop	0.0	46gyXjRIvN1NL1eCB8GBxo	0	0	0.0	96	46gyXjRIvN1NL1eCB8GBxo	0.0	0.0
3XHO7cRUPCLOr6jwp8vsx5	0.0	alt-J	147	71	1961687	0.0	0.0	null	3XHO7cRUPCLOr6jwp8vsx5.jpg	indie rock	0.0	3XHO7cRUPCLOr6jwp8vsx5	0	0	0.0	97	3XHO7cRUPCLOr6jwp8vsx5	0.0	0.0
4DWX7u8BV0vZIQSpJQQDWU	0.0	Alter Bridge	148	60	482916	0.0	0.0	null	4DWX7u8BV0vZIQSpJQQDWU.jpg	alternative metal, nu metal, post-grunge, rap metal, rock	0.0	4DWX7u8BV0vZIQSpJQQDWU	0	0	0.0	98	4DWX7u8BV0vZIQSpJQQDWU	0.0	0.0
2VAnyOxzJuSAj7XIuEOT38	0.0	AlunaGeorge	149	67	315874	0.0	0.0	null	2VAnyOxzJuSAj7XIuEOT38.jpg	electropop, house, indie r&b, indietronica, pop, tropical house	0.0	2VAnyOxzJuSAj7XIuEOT38	0	0	0.0	99	2VAnyOxzJuSAj7XIuEOT38	0.0	0.0
5XenQ7XfcvQdfIbpLEFaKQ	0.0	GoldLink	150	70	358621	0.0	0.0	null	5XenQ7XfcvQdfIbpLEFaKQ.jpg	hip hop, indie r&b, pop rap, rap, underground hip hop	0.0	5XenQ7XfcvQdfIbpLEFaKQ	0	0	0.0	100	5XenQ7XfcvQdfIbpLEFaKQ	0.0	0.0
62DmErcU7dqZbJaDqwsqzR	0.0	Popcaan	151	66	206247	0.0	0.0	null	62DmErcU7dqZbJaDqwsqzR.jpg	dancehall, reggae fusion	0.0	62DmErcU7dqZbJaDqwsqzR	0	0	0.0	101	62DmErcU7dqZbJaDqwsqzR	0.0	0.0
1KpCi9BOfviCVhmpI4G2sY	0.0	Tchami	152	60	199916	0.0	0.0	null	1KpCi9BOfviCVhmpI4G2sY.jpg	deep groove house, edm, electro house, electronic trap, house, progressive house, tropical house	0.0	1KpCi9BOfviCVhmpI4G2sY	0	0	0.0	102	1KpCi9BOfviCVhmpI4G2sY	0.0	0.0
0tMr0e1EQZ0Vci7EHz2bM9	0.0	Shadow Child	153	46	31378	0.0	0.0	null	0tMr0e1EQZ0Vci7EHz2bM9.jpg	deep disco house, deep groove house, deep house, house, minimal tech house, speed garage	0.0	0tMr0e1EQZ0Vci7EHz2bM9	0	0	0.0	103	0tMr0e1EQZ0Vci7EHz2bM9	0.0	0.0
53Gnd3lGlcL8ua9Yyu9xDP	0.0	Amanda Cook	154	56	49755	0.0	0.0	null	53Gnd3lGlcL8ua9Yyu9xDP.jpg	anthem worship, canadian ccm, worship	0.0	53Gnd3lGlcL8ua9Yyu9xDP	0	0	0.0	104	53Gnd3lGlcL8ua9Yyu9xDP	0.0	0.0
26T4yOaOoFJvUvxR87Y9HO	0.0	Bethel Music	155	69	559803	0.0	0.0	null	26T4yOaOoFJvUvxR87Y9HO.jpg	deep ccm, worship	0.0	26T4yOaOoFJvUvxR87Y9HO	0	0	0.0	105	26T4yOaOoFJvUvxR87Y9HO	0.0	0.0
0MlOPi3zIDMVrfA9R04Fe3	0.0	American Authors	156	65	568331	0.0	0.0	null	0MlOPi3zIDMVrfA9R04Fe3.jpg	brooklyn indie, modern rock, neo mellow, pop, pop rock	0.0	0MlOPi3zIDMVrfA9R04Fe3	0	0	0.0	106	0MlOPi3zIDMVrfA9R04Fe3	0.0	0.0
3Gm5F95VdRxW3mqCn8RPBJ	0.0	Aminé	157	69	585961	0.0	0.0	null	3Gm5F95VdRxW3mqCn8RPBJ.jpg	hip hop, indie r&b, pop, pop rap, rap	0.0	3Gm5F95VdRxW3mqCn8RPBJ	0	0	0.0	107	3Gm5F95VdRxW3mqCn8RPBJ	0.0	0.0
0cGUm45nv7Z6M6qdXYQGTX	0.07475488205630446	Kehlani	158	81	1588708	6.0	73.97981251654329	null	0cGUm45nv7Z6M6qdXYQGTX.jpg	dance pop, indie r&b, pop, post-teen pop, r&b	0.34183535762483136	0cGUm45nv7Z6M6qdXYQGTX	5	3	0.3	1703	0cGUm45nv7Z6M6qdXYQGTX	0.31265822784810127	10.0
3nf2EaHj8HikLNdaiW3v73	0.0	Injury Reserve	159	55	55791	0.0	0.0	null	3nf2EaHj8HikLNdaiW3v73.jpg	alternative hip hop, escape room, hip hop, indie r&b, rap, underground hip hop	0.0	3nf2EaHj8HikLNdaiW3v73	0	0	0.0	108	3nf2EaHj8HikLNdaiW3v73	0.0	0.0
4rljPSpCHQzUJMNOvmw1DL	0.0	Dana Williams	160	53	8685	0.0	0.0	null	4rljPSpCHQzUJMNOvmw1DL.jpg	NaN	0.0	4rljPSpCHQzUJMNOvmw1DL	0	0	0.0	109	4rljPSpCHQzUJMNOvmw1DL	0.0	0.0
2gBjLmx6zQnFGQJCAQpRgw	0.03881630923136839	Nelly	161	72	1082038	6.0	0.0	null	2gBjLmx6zQnFGQJCAQpRgw.jpg	dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary	0.2931848852901489	2gBjLmx6zQnFGQJCAQpRgw	1	0	0.0	856	2gBjLmx6zQnFGQJCAQpRgw	0.2750556792873051	2.0
3pulcT2wt7FEG10lQlqDJL	0.0	Amon Amarth	162	60	393761	0.0	0.0	null	3pulcT2wt7FEG10lQlqDJL.jpg	alternative metal, death metal, groove metal, melodic death metal, metal, power metal, swedish death metal, swedish metal, viking metal	0.0	3pulcT2wt7FEG10lQlqDJL	0	0	0.0	110	3pulcT2wt7FEG10lQlqDJL	0.0	0.0
0QrowybipCKUDnq5y10PD2	0.0	Amos Lee	163	57	245621	0.0	0.0	null	0QrowybipCKUDnq5y10PD2.jpg	acoustic pop, folk-pop, indie folk, lilith, neo mellow, pop rock	0.0	0QrowybipCKUDnq5y10PD2	0	0	0.0	111	0QrowybipCKUDnq5y10PD2	0.0	0.0
72Nhcx7prNk2ZCxhx0Y5es	0.0	Amy Grant	164	48	85960	0.0	0.0	null	72Nhcx7prNk2ZCxhx0Y5es.jpg	ccm, christian alternative rock, christian music	0.0	72Nhcx7prNk2ZCxhx0Y5es	0	0	0.0	112	72Nhcx7prNk2ZCxhx0Y5es	0.0	0.0
