Id	eigencentrality	0	eccentricity	betweenesscentrality	timeset	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
6g0Wah2YFtb1rFgKhUktlo	0.1389010877964496	Raphael Saadiq	10.0	211678.23834140203	null	0.2592745659886189	6g0Wah2YFtb1rFgKhUktlo	13	6	0.07692307692307693	2695	6g0Wah2YFtb1rFgKhUktlo	0.2387299009990303	54.0
72kqSqk124Vnl1wtT6q9Fh	0.0018074936431475967	Adassa	12.0	0.0	null	0.18188974233988153	72kqSqk124Vnl1wtT6q9Fh	1	0	0.0	4957	72kqSqk124Vnl1wtT6q9Fh	0.1747931905618942	2.0
4ATDRGpJ9wi6e5FRYb8C2t	0.0	Willie Walker	0.0	0.0	null	0.0	4ATDRGpJ9wi6e5FRYb8C2t	0	0	0.0	966	4ATDRGpJ9wi6e5FRYb8C2t	0.0	0.0
3w7mWtRkKH3dCzX4JuJfDD	0.004560838967811724	Aktual	12.0	0.0	null	0.18561397693979623	3w7mWtRkKH3dCzX4JuJfDD	1	0	0.0	5934	3w7mWtRkKH3dCzX4JuJfDD	0.1749549638884757	4.0
6u8n3RlZkTtS0TAIvdgkw4	0.010046223908264621	Big Tri/Young Tone	11.0	0.0	null	0.20605880673895852	6u8n3RlZkTtS0TAIvdgkw4	1	0	0.0	3685	6u8n3RlZkTtS0TAIvdgkw4	0.19367704636100846	2.0
3rUqaKQuOgNiClxsadaqD5	0.0012543127868011297	Napoleon	12.0	0.0	null	0.16600552841579647	3rUqaKQuOgNiClxsadaqD5	1	0	0.0	4904	3rUqaKQuOgNiClxsadaqD5	0.1595165981043654	2.0
08E6U3cRztJkXcxNGlL2Rs	0.00560532133675594	Mr. Ball	11.0	0.0	null	0.19925483888029913	08E6U3cRztJkXcxNGlL2Rs	1	0	0.0	5415	08E6U3cRztJkXcxNGlL2Rs	0.18844681797952825	4.0
3LiGfjUfBJux92Cq7phFZO	0.0015053558712738778	Lil G	13.0	0.0	null	0.14685540832574528	3LiGfjUfBJux92Cq7phFZO	1	0	0.0	5651	3LiGfjUfBJux92Cq7phFZO	0.14138419210941047	2.0
0Bvs8yPjrQSbmVIRqSg1Sp	0.001008194361761466	Thompson Square	13.0	0.0	null	0.15856091160975574	0Bvs8yPjrQSbmVIRqSg1Sp	1	0	0.0	5855	0Bvs8yPjrQSbmVIRqSg1Sp	0.153482572638172	4.0
79FMDwzZQxHgSkIYBl3ODU	0.0076812413948303725	Trace Adkins	12.0	74388.55151778417	null	0.1955170514352615	79FMDwzZQxHgSkIYBl3ODU	10	0	0.0	4671	79FMDwzZQxHgSkIYBl3ODU	0.18621914964729888	26.0
4XFVirgZhSsDXktPb8APS6	0.0	Gruppo Venezia In Musica	0.0	0.0	null	0.0	4XFVirgZhSsDXktPb8APS6	0	0	0.0	967	4XFVirgZhSsDXktPb8APS6	0.0	0.0
44KwPccmo5Hf2JKfRM3gRp	0.0011295534198219796	Issa	12.0	0.0	null	0.1643660942097623	44KwPccmo5Hf2JKfRM3gRp	1	0	0.0	5659	44KwPccmo5Hf2JKfRM3gRp	0.15706930575544906	2.0
4wFDmNVdDfACuCMhGuR1H0	0.0	Stefano & the TRUTH	0.0	0.0	null	0.0	4wFDmNVdDfACuCMhGuR1H0	0	0	0.0	968	4wFDmNVdDfACuCMhGuR1H0	0.0	0.0
1kkpNi8Ii5MhBMxmUhN5g9	0.0	The Electric Prunes	0.0	0.0	null	0.0	1kkpNi8Ii5MhBMxmUhN5g9	0	0	0.0	969	1kkpNi8Ii5MhBMxmUhN5g9	0.0	0.0
3BiGnGj34ZiF1T66GaKpOt	0.0	Lee & Sun	0.0	0.0	null	0.0	3BiGnGj34ZiF1T66GaKpOt	0	0	0.0	970	3BiGnGj34ZiF1T66GaKpOt	0.0	0.0
3AOPsb5oGscweRef0jCI1p	0.0	Debbie Taylor	0.0	0.0	null	0.0	3AOPsb5oGscweRef0jCI1p	0	0	0.0	971	3AOPsb5oGscweRef0jCI1p	0.0	0.0
2CxtLXJMW2AbYPyQShuDT1	0.022587890016487523	Ball Greezy	11.0	284.0389334360449	null	0.20985675218624983	2CxtLXJMW2AbYPyQShuDT1	2	0	0.0	5656	2CxtLXJMW2AbYPyQShuDT1	0.19547233916832854	10.0
5Ol7umn34fqXApfugYcl9Q	0.003265591457318667	Flo	11.0	0.0	null	0.19024516166497618	5Ol7umn34fqXApfugYcl9Q	1	0	0.0	2695	5Ol7umn34fqXApfugYcl9Q	0.18100986611493938	2.0
0tEu1R96F6E2aMVAm8dW0T	0.0016884971573731529	Idjut Boys	13.0	42328.0	null	0.14650450731122974	0tEu1R96F6E2aMVAm8dW0T	2	0	0.0	5939	0tEu1R96F6E2aMVAm8dW0T	0.1409793711462398	8.0
