name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
Mr. Niles,0.0,0.0647150497682822,0.0,1,15,6.746704609162143e-07,895.3390276389991,2,3.4828758076077145e-05,5OatvVyNHw077NOUYwOC7Q,2,1A 2B 3A 4A
Kris Allen,0.0,0.07124331658307842,0.0,1,13,1.4306904661862327e-06,989.204972804929,4,4.3779272197300136e-05,7Cefe4f4jnOaUtyBRGSmRq,5,1A 2B 3A 4A
Rockabye Baby!,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,5bHjVR4F2Tfq4Ha6x7K6wU,1,1A 2A 3A 4A
Sevenn,0.0,0.09469249932036057,0.0,1,13,0.0005617146865595312,1350.9054306804808,8,4.9080326318440386e-05,7bNqXqIrIfwJnipx7oGeU4,4,1A 2B 3A 4A
Banx & Ranx,0.0,0.08159495197097327,0.0,1,14,4.558913343916988e-05,1145.0715229215127,2,2.262785674051724e-05,2uFC1dAj5b0YU7vulKNZ0p,5,1A 2B 3A 4A
Suy Galvez,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,3eCn1jNrQSk0aE1cgkArZz,1,1A 2A 3A 4A
Jimmy Cross,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,4eKMkGVTuUvP80KG6Aq1gO,1,1A 2A 3A 4A
The Brecker Brothers,0.0,0.00013551155612436948,0.0,3,2,2.0354326653085305e-12,2.0,6,8.495779741492647e-05,45rpaf8BR69NIPqmeAYb7l,1,1A 2A 3A 4A
Rhymefest & Jabar,0.0,0.07154621444641426,0.0,1,15,1.0352739326663787e-05,996.8875985125569,4,3.227912643043304e-05,0PVx1vMTOx7Z9DjG32qFIw,5,1A 2B 3A 4A
Senna Black,0.0,0.00013551155612436948,0.0,1,2,1.8701631247127352e-12,2.0,2,4.1012628895504066e-05,3VXsGucLnCidSpk1u7vwbY,1,1A 2A 3A 4A
Mela Machinko,0.0,0.08457135185891823,0.0,1,15,0.00048507068027266203,1204.2647519147624,2,2.4683636974450976e-05,6vQGsQ9qdcDLklKbxqk2wK,5,1A 2B 3A 4A
R.K.M & Ken-Y,0.0001563425336841285,0.09167628010001126,0.2,7,13,0.0006639885329776364,1300.682811632857,44,0.00019307139142268244,3jFjgKOGfVLWfXX8q5wrsg,4,1A 2B 3A 4A
Velous,0.0,0.09200483453467005,0.0,1,14,0.002333634076511237,1304.7549533799925,4,2.338639784692652e-05,5wSwUKypCXZ3fhJL0ulHdg,4,1A 2B 3A 4A
WawMart,3.4008822999640994e-08,0.00022585259354061582,0.0,5,1,1.6057914695228525e-12,3.0,18,0.00023929121626164985,6ybdfMQNAfHKRrTFGv4VaH,1,1A 2A 3A 4A
Dana,0.0,0.0002463846474988536,0.0,1,2,7.900612503966633e-12,3.5,2,4.3775214600611485e-05,2jKndvg84LqMjBGFFKaWLC,1,1A 2A 3A 4A
Hinder,0.0,7.528419784687193e-05,0.0,3,1,6.235891544425749e-14,1.0,6,0.00012484282504543226,6BMhCQJYHxxKAeqYS1p5rY,1,1A 2A 3A 4A
Glenn Makos Quartet,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,3OnXD5goBmO1NgeuXJfeUB,1,1A 2A 3A 4A
