eigencentrality,name,eccentricity,harmonicclosnesscentrality,degree,triangles,clustering,modularity_class,closnesscentrality,weighted degree,betweenesscentrality,Spotify ID,Cluster
0.0052926529335827,Tito Lo,12.0,0.1991042018365855,1,0,0.0,6962,0.1880855208236712,6.0,0.0,0UFeDfKO6FBHi16SIjKLRk,1
0.0005534718700255997,Dear Jayne,13.0,0.1614376329023121,1,0,0.0,7440,0.1553087601723312,4.0,0.0,2jGkJ4PlZ8t0k5Gamf96kS,1
0.0084076406698703,Chris Staropoli,11.0,0.210303619174269,1,0,0.0,7440,0.1992091561057078,8.0,0.0,4BPAFcjUlxoVXqHokjB9WT,1
0.0,End.user,0.0,0.0,0,0,0.0,1246,0.0,0.0,0.0,5xa62h5wqHPxUDez38mtv5,0
0.0054998622607754,Solberjum,12.0,0.2050397038884702,1,0,0.0,6962,0.1947091725280265,2.0,0.0,5eKA7jngHobjPeCIa0A5sT,1
0.0003422524406336617,Providence,1.0,1.0,1,0,0.0,1892,1.0,2.0,0.0,233gXv7Xzva0zuCryqCFvl,2
0.0009001284177377355,Wilson Pickett,13.0,0.1699220201639699,1,0,0.0,6798,0.1646084688834996,2.0,0.0,0N5PyKJzS3M1XNlaCL7bbE,1
0.0037106964405983,Boogiemane,12.0,0.194362309357363,1,0,0.0,6962,0.184340909090909,10.0,0.0,1Nq5Z18cOmMzGIhzoWmQOT,1
0.0016860302103539,Ian Hunter,13.0,0.1686873808529542,4,0,0.0,6425,0.1635381172248321,58.0,0.00025020344941275387,1Ov9t7KbQF0oz9B4JsMfV2,1
0.1681407647200134,Rico Love,11.0,0.2539484173684554,15,24,0.2285714285714285,7440,0.2327536730945822,54.0,0.0003087861743060792,2GEcMpeGIad5O23WxDRFMn,1
0.0,Les silencieux,0.0,0.0,0,0,0.0,1247,0.0,0.0,0.0,135ZeBabgZo6nzzm7Dc9Ht,0
0.0060947103430819,Quaniah,11.0,0.2009225886922682,1,0,0.0,7440,0.1897198994210865,12.0,0.0,6zUywcWd2zszfDdTQePTDG,1
0.0026314890574855,EssenVee,13.0,0.1832620423453716,1,0,0.0,6472,0.1760983076238343,8.0,0.0,0zvjccHXhIm7VDD46VPFAG,1
0.0100008791614721,Ab Liva,12.0,0.2075045126040499,2,0,0.0,7440,0.1965755001635907,4.0,1.984430342575478e-07,53WOQvBO23MHgjpnpjYVTi,1
0.0,New Years Hit Makers,0.0,0.0,0,0,0.0,1248,0.0,0.0,0.0,3wmQMIewVnm4qae3HFz1HW,0
0.000783616496622187,Ricky Watford,13.0,0.1642184462135762,1,0,0.0,6800,0.1591874785339286,2.0,0.0,1pB81y3uoW85VcwMFzGGrq,1
0.0,Savoy Brown featuring Kim Simmonds,0.0,0.0,0,0,0.0,1249,0.0,0.0,0.0,3uBFMtBvhxHyzkJW4AdwbB,0
0.0,Lorenzo Panico,0.0,0.0,0,0,0.0,1250,0.0,0.0,0.0,1FwjJzsWapzWJkDibKirt0,0
0.0,Captain Hollywood Project,0.0,0.0,0,0,0.0,1251,0.0,0.0,0.0,3El2sJgqTWkg1kkyHHAEu4,0
0.0003422524406336617,Erotic Massage Music Ensemble,1.0,1.0,1,0,0.0,2945,1.0,30.0,0.0,0wgemfQJai9SWvF53YcMIT,2
0.0,Peter Bennborn,0.0,0.0,0,0,0.0,1252,0.0,0.0,0.0,2Aft5qFqTbvednad1g15um,0
0.0,Bobby Freeman,0.0,0.0,0,0,0.0,1253,0.0,0.0,0.0,5oMWW19j0AXl7Sy4Xn9rmg,0
0.0,Untamed Nillas,0.0,0.0,0,0,0.0,1254,0.0,0.0,0.0,2b5SXWoTPSxx1z7aOyRjxd,0
0.006979820021227,K Theory,12.0,0.1960399008312185,2,0,0.0,6798,0.1851763067474858,4.0,0.0005048323398244167,4N4XqUMMv5KXtLvCBYEIOt,1
0.0370865208895108,Erykah Badu,11.0,0.2360019631117355,19,4,0.023391812865497,7505,0.2216332162911753,76.0,0.0031789082083462203,7IfculRW2WXyzNQ8djX8WX,1
0.0009843800708389094,Lizz Wright,14.0,0.1744611114648621,1,0,0.0,6800,0.1688226539978561,2.0,0.0,3K0BfjMh2dS8WITuiMuGGW,1
0.0169907009727713,Monsieur Adi,12.0,0.2233860346423341,6,0,0.0,6798,0.2104675904302247,14.0,0.00023878630282667533,4KF0B66rZU4yV2hruz7YN4,1
0.0017917803995499,Christian Ford,12.0,0.1851147889768153,1,0,0.0,6805,0.1772973681909591,6.0,0.0,6vwa6MckmLS9HvW1QEceyQ,1
0.0005315632312663319,Cajjmere Wray,13.0,0.1658661360146979,1,0,0.0,6805,0.160296442687747,2.0,0.0,1oImAc6GWpVa0QUbH7XcH5,1
0.0013582523061018,Joyce Muniz,13.0,0.1874606699551038,1,0,0.0,6269,0.1807344355809082,2.0,0.0,2V5PoybhNfFnNEs0NKv44L,1
