Id,name,popularity,followers,genres,image,Spotify ID
1990,The Chainsmokers,83,7947156,"edm, electropop, pop, tropical house",69GGBxA162lTqCwzJG5jLp.jpg,69GGBxA162lTqCwzJG5jLp
1991,Drew Love,71,2557,,76yeOnINtQSXyoEHbkYmtY.jpg,76yeOnINtQSXyoEHbkYmtY
1992,The Cranberries,70,1147481,"irish rock, pop rock",7t0rwkOPGlDPEhaOcVtOt9.jpg,7t0rwkOPGlDPEhaOcVtOt9
1993,The Dead Weather,49,225880,"alternative rock, blues-rock, garage rock, indie rock, modern rock, punk blues",4AZab8zo2nTYd7ORDmQu0V.jpg,4AZab8zo2nTYd7ORDmQu0V
1994,The Dear Hunter,48,78744,"dreamo, progressive post-hardcore",51lE580QM13Anmb3mK2j1e.jpg,51lE580QM13Anmb3mK2j1e
1995,The Decemberists,57,339803,"chamber pop, folk-pop, indie folk, indie pop, indie rock, modern rock, neo-psychedelic, portland indie, stomp and holler",7ITd48RbLVpUfheE7B86o2.jpg,7ITd48RbLVpUfheE7B86o2
1996,The Dillinger Escape Plan,44,112926,"alternative metal, djent, funk rock, jazz metal, mathcore",7IGcjaMGAtsvKBLQX26W4i.jpg,7IGcjaMGAtsvKBLQX26W4i
1997,The Flaming Lips,57,362919,"alternative rock, art rock, chamber pop, experimental rock, freak folk, garage rock, indie folk, indie pop, indie rock, lo-fi, modern rock, neo-psychedelic, noise pop, ok indie, psychedelic rock, rock",16eRpMNXSQ15wuJoeqguaB.jpg,16eRpMNXSQ15wuJoeqguaB
1998,The Game,71,1483612,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music",0NbfKEOTQCcwd6o7wSDOHI.jpg,0NbfKEOTQCcwd6o7wSDOHI
1999,Sevyn,47,867,,0MrWccK2g4vI3yFW9Puiv1.jpg,0MrWccK2g4vI3yFW9Puiv1
2000,The Gaslight Anthem,56,230229,heartland rock,7If8DXZN7mlGdQkLE2FaMo.jpg,7If8DXZN7mlGdQkLE2FaMo
2001,The Head and the Heart,66,575528,"folk-pop, indie folk, indie pop, modern rock, neo mellow, new americana, seattle indie, stomp and holler",0n94vC3S9c3mb2HyNAOcjg.jpg,0n94vC3S9c3mb2HyNAOcjg
2002,The Killers,76,3657753,"indie rock, modern rock, permanent wave, rock, vegas indie",0C0XlULifJtAgn6ZNCW2eu.jpg,0C0XlULifJtAgn6ZNCW2eu
2003,The Lacs,59,219048,redneck,23OFz99wX0NDBBwrxthLWU.jpg,23OFz99wX0NDBBwrxthLWU
2004,Colt Ford,60,432244,"contemporary country, country, country road, modern country rock, redneck",0OpWIlokQeE7BNQMhuu2Nx.jpg,0OpWIlokQeE7BNQMhuu2Nx
2005,JJ Lawhorn,48,39933,"contemporary country, country road, lift kit, modern country rock, redneck",3HvapZ323lwmK8tu8JsLvb.jpg,3HvapZ323lwmK8tu8JsLvb
2006,Hard Target,46,5527,redneck,2YqvF0mZUjjtRyMP4vyGUf.jpg,2YqvF0mZUjjtRyMP4vyGUf
2007,Nate Kenyon,45,3715,"lift kit, redneck",18uDt2CmzLwhbVUORHE6x4.jpg,18uDt2CmzLwhbVUORHE6x4
2008,Bubba Sparxxx,54,122804,"dirty south rap, pop rap, redneck, southern hip hop",3RPYHNSwe3w0mtfJwKIN9P.jpg,3RPYHNSwe3w0mtfJwKIN9P
2009,Charlie Farley,51,42215,redneck,7c9KnWYDsZgK8k5QiCi9wk.jpg,7c9KnWYDsZgK8k5QiCi9wk
2010,The Lumineers,73,2587170,"folk-pop, indie folk, indie pop, modern rock, stomp and holler",16oZKvXb6WkQlVAjwo2Wbg.jpg,16oZKvXb6WkQlVAjwo2Wbg
