Id,name,popularity,followers,genres,image,Spotify ID
1,2 Chainz,83,3141364,"hip hop, pop, pop rap, rap, southern hip hop, trap music",17lzZA2AlOHwCwFALHttmp.jpg,17lzZA2AlOHwCwFALHttmp
2,Drake,100,23732186,"canadian hip hop, canadian pop, hip hop, pop rap, rap",3TVXtAsR1Inumwj472S9r4.jpg,3TVXtAsR1Inumwj472S9r4
3,Quavo,84,1819632,,0VRj0yCOv2FXJNP47XQnx5.jpg,0VRj0yCOv2FXJNP47XQnx5
4,Ty Dolla $ign,87,1939644,"pop, pop rap, rap, trap music",7c0XG5cIJTrrAgEC3ULPiq.jpg,7c0XG5cIJTrrAgEC3ULPiq
5,Trey Songz,75,3256433,"dance pop, indie r&b, pop, pop rap, r&b, southern hip hop, urban contemporary",2iojnBLj0qIMiKPvVhLnsH.jpg,2iojnBLj0qIMiKPvVhLnsH
6,Jhene Aiko,75,1765439,"dance pop, indie r&b, pop, pop rap, r&b, rap, urban contemporary",5ZS223C6JyBfXasXxrRqOk.jpg,5ZS223C6JyBfXasXxrRqOk
7,Saudi,61,1560,,37Qsf5KCKljH7mL134xp4k.jpg,37Qsf5KCKljH7mL134xp4k
8,French Montana,81,1810699,"hip hop, pop, pop rap, rap, southern hip hop, trap music",6vXTefBL93Dj5IqAWq6OTv.jpg,6vXTefBL93Dj5IqAWq6OTv
9,Nacho,74,840662,"latin, latin pop, pop, reggaeton, tropical",2ayNSoKPCRAfjp6hQ76hRu.jpg,2ayNSoKPCRAfjp6hQ76hRu
10,Travis Scott,86,3019868,"pop, pop rap, rap, trap music",0Y5tJX1MQlPlqiwlOH1tJY.jpg,0Y5tJX1MQlPlqiwlOH1tJY
11,Gucci Mane,82,2065690,"dirty south rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",13y7CgLHjMVRMDqxdx0Xdo.jpg,13y7CgLHjMVRMDqxdx0Xdo
12,Big Sean,82,4582249,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music",0c173mlxpT3dSFRgMO8XPh.jpg,0c173mlxpT3dSFRgMO8XPh
13,Yo Gotti,74,1846868,"dirty south rap, dwn trap, gangster rap, hip hop, memphis hip hop, pop, pop rap, rap, southern hip hop, trap music",6Ha4aES39QiVjR0L2lwuwq.jpg,6Ha4aES39QiVjR0L2lwuwq
14,Desiigner,71,1959774,"dwn trap, hip hop, pop, pop rap, rap, southern hip hop, trap music",7pFeBzX627ff0VnN6bxPR4.jpg,7pFeBzX627ff0VnN6bxPR4
15,Offset,85,572928,trap music,4DdkRBBYG6Yk9Ka8tdJ9BW.jpg,4DdkRBBYG6Yk9Ka8tdJ9BW
16,YG,79,1221687,"gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",0A0FS04o6zMoto8OKPsDwY.jpg,0A0FS04o6zMoto8OKPsDwY
17,Young Dolph,67,688690,"deep trap, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap music",3HiuzBlSW7pGDXlSFMhO2g.jpg,3HiuzBlSW7pGDXlSFMhO2g
18,21 Savage,84,4526274,"pop, rap, trap music",1URnnhqYAYcrqrcwql10ft.jpg,1URnnhqYAYcrqrcwql10ft
19,Metro Boomin,78,698402,"rap, southern hip hop, trap music",0iEtIxbK0KxaSlF7G42ZOp.jpg,0iEtIxbK0KxaSlF7G42ZOp
20,Future,87,6904802,"pop, pop rap, rap, southern hip hop, trap music",1RyvyyTE3xzB2ZywiAwp0i.jpg,1RyvyyTE3xzB2ZywiAwp0i
21,London On Da Track,58,30195,,5Nf5yishRW9Ye174sJISkg.jpg,5Nf5yishRW9Ye174sJISkg
22,2Pac,77,4332246,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",1ZwdS5xdxEREPySFridCfh.jpg,1ZwdS5xdxEREPySFridCfh
23,Roger,60,37109,funk,3GMoVpWJy4smKuxFuFTwXC.jpg,3GMoVpWJy4smKuxFuFTwXC
24,Dr. Dre,77,3561723,"g funk, gangster rap, hip hop, rap, west coast rap",6DPYiyq5kWVQS4RGwxzPC7.jpg,6DPYiyq5kWVQS4RGwxzPC7
25,Outlawz,60,62386,,2jp3Fk52x0HbymU0lNYbSC.jpg,2jp3Fk52x0HbymU0lNYbSC
26,Digital Underground,54,134966,"funk, gangster rap, hardcore hip hop, hip hop, hip house, rap, west coast rap",7jocoSCuCtpCxCI6IbP8ye.jpg,7jocoSCuCtpCxCI6IbP8ye
27,3 Doors Down,69,1657353,"alternative metal, nu metal, pop punk, pop rock, post-grunge, rap metal",2RTUTCvo6onsAnheUk3aL9.jpg,2RTUTCvo6onsAnheUk3aL9
28,Jack Joseph Puig,50,141,,30I8GIK3UqVyAg58557mdJ.jpg,30I8GIK3UqVyAg58557mdJ
29,311,62,374881,"alternative metal, alternative rock, funk metal, nu metal, pop rock, post-grunge, rock",41Q0HrwWBtuUkJc7C1Rp6K.jpg,41Q0HrwWBtuUkJc7C1Rp6K
30,5 Seconds of Summer,84,3266806,"boy band, pop, post-teen pop",5Rl15oVamLq7FbSb0NNBNy.jpg,5Rl15oVamLq7FbSb0NNBNy
31,6ix9ine,81,1484050,,7gZfnEnfiaHzxARJ2LeXrf.jpg,7gZfnEnfiaHzxARJ2LeXrf
32,DJ SpinKing,68,7034,,1qSJaftSab2kTTsj7fLxvM.jpg,1qSJaftSab2kTTsj7fLxvM
33,Nicki Minaj,89,11775181,"dance pop, hip pop, pop, pop rap",0hCNtLu0JehylgoiP8L4Gh.jpg,0hCNtLu0JehylgoiP8L4Gh
34,Murda Beatz,71,42551,canadian hip hop,3CbYyyd8wH3RT6t0jwpdzC.jpg,3CbYyyd8wH3RT6t0jwpdzC
35,Fetty Wap,76,3139844,"dance pop, dwn trap, pop, pop rap, rap, southern hip hop, trap music",6PXS4YHDkKvl1wkIl4V8DL.jpg,6PXS4YHDkKvl1wkIl4V8DL
36,A Boogie Wit da Hoodie,78,1822956,"pop, rap, southern hip hop, trap music",31W5EY0aAly4Qieq6OFu6I.jpg,31W5EY0aAly4Qieq6OFu6I
37,Tory Lanez,78,1492199,"canadian hip hop, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music",2jku7tDXc6XoB6MO2hFuqg.jpg,2jku7tDXc6XoB6MO2hFuqg
38,Young Thug,82,3069598,"gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",50co4Is1HCEo8bhOyUWKpn.jpg,50co4Is1HCEo8bhOyUWKpn
39,6LACK,77,961258,"hip hop, indie r&b, pop, pop rap, rap, trap music",4IVAbR2w4JJNJDDRFP3E83.jpg,4IVAbR2w4JJNJDDRFP3E83
40,Kodak Black,80,3352632,"pop, rap, southern hip hop, trap music",46SHBwWsqBkxI7EeeBEQG7.jpg,46SHBwWsqBkxI7EeeBEQG7
41,PnB Rock,76,1363742,"pop, rap, trap music",21WS9wngs9AqFckK7yYJPM.jpg,21WS9wngs9AqFckK7yYJPM
42,YoungBoy Never Broke Again,79,1201453,trap music,7wlFDEWiM5OoIAt8RSli8b.jpg,7wlFDEWiM5OoIAt8RSli8b
43,A Day To Remember,68,1210901,"metalcore, pop punk, rap metal, screamo",4NiJW4q9ichVqL1aUsgGAN.jpg,4NiJW4q9ichVqL1aUsgGAN
44,A Perfect Circle,65,655552,"alternative metal, alternative rock, modern rock, nu metal, post-grunge, rap metal, rock",4DFhHyjvGYa9wxdHUjtDkc.jpg,4DFhHyjvGYa9wxdHUjtDkc
45,A Thousand Horses,44,53500,"contemporary country, country road, lift kit, modern country rock",55RI2GNCfyXr0f14uIdhwd.jpg,55RI2GNCfyXr0f14uIdhwd
46,A Tribe Called Quest,66,787817,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, jazz rap, pop rap, rap",09hVIj6vWgoCDtT03h8ZCa.jpg,09hVIj6vWgoCDtT03h8ZCa
47,A$AP Ferg,77,1417263,"hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop",5dHt1vcEm9qb8fCyLcB3HL.jpg,5dHt1vcEm9qb8fCyLcB3HL
48,A$AP Rocky,85,4119217,"east coast hip hop, pop, pop rap, rap, trap music",13ubrt8QOOCPljQ2FL1Kca.jpg,13ubrt8QOOCPljQ2FL1Kca
49,Trinidad James,60,185458,"dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap music",0I5HubncQ8E1MFZOlPDY4J.jpg,0I5HubncQ8E1MFZOlPDY4J
50,ScHoolboy Q,75,1922782,"gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop",5IcR3N7QB1j6KBL8eImZ8m.jpg,5IcR3N7QB1j6KBL8eImZ8m
51,NAV,79,829476,"canadian hip hop, pop, pop rap, rap, southern hip hop, trap music",7rkW85dBwwrJtlHRDkJDAC.jpg,7rkW85dBwwrJtlHRDkJDAC
52,Joey Bada$$,74,1052670,"gangster rap, hip hop, pop rap, rap, trap music, underground hip hop",2P5sC9cVZDToPxyomzF1UH.jpg,2P5sC9cVZDToPxyomzF1UH
53,A$AP Mob,67,706707,"hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop",7yO4IdJjCEPz7YgZMe25iS.jpg,7yO4IdJjCEPz7YgZMe25iS
54,Juicy J,77,1352059,"crunk, dirty south rap, gangster rap, hip hop, memphis hip hop, pop rap, rap, southern hip hop, trap music",5gCRApTajqwbnHHPbr2Fpi.jpg,5gCRApTajqwbnHHPbr2Fpi
55,Playboi Carti,78,1528254,"hip hop, pop, pop rap, rap, southern hip hop, trap music",699OTQXzgjhIYAHMy9RyPD.jpg,699OTQXzgjhIYAHMy9RyPD
56,Lil Uzi Vert,85,4531373,"pop, rap, trap music",4O15NlyKLIASxsJ0PrXPfz.jpg,4O15NlyKLIASxsJ0PrXPfz
57,Frank Ocean,79,3519040,"hip hop, indie r&b, neo soul, pop, rap",2h93pZq0e7k5yf4dywlkpM.jpg,2h93pZq0e7k5yf4dywlkpM
58,A$AP Twelvyy,60,97031,"rap, southern hip hop, trap music, underground hip hop",0tPjSrb43a58uznKru1k2P.jpg,0tPjSrb43a58uznKru1k2P
59,A$AP ANT,57,43158,"drill, underground hip hop, vapor trap",45m1IiS45uD1HcPlYkNWKj.jpg,45m1IiS45uD1HcPlYkNWKj
60,A$AP Nast,58,12624,,1uLYUm2A6kpFYAECfAFoH1.jpg,1uLYUm2A6kpFYAECfAFoH1
61,"Tyler, The Creator",76,2044936,"hip hop, rap",4V8LLVI7PbaPR0K2TGSxFF.jpg,4V8LLVI7PbaPR0K2TGSxFF
62,Yung Gleesh,47,15930,"underground hip hop, vapor trap",2TD63ASEB2JcYY3C4KWJjz.jpg,2TD63ASEB2JcYY3C4KWJjz
63,KEY,58,9281,"underground hip hop, vapor trap",2tMOCIpxj6jwM9e6pmwGiP.jpg,2tMOCIpxj6jwM9e6pmwGiP
64,Jaden Smith,72,463937,"hip hop, pop, rap",0xOeVMOz2fVg5BJY3N6akT.jpg,0xOeVMOz2fVg5BJY3N6akT
65,Chief Keef,70,1210427,"drill, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, vapor trap",15iVAtD3s3FsQR4w1v6M0P.jpg,15iVAtD3s3FsQR4w1v6M0P
66,Skepta,76,430008,"grime, hip hop, rap",2p1fiYHYiXz9qi0JJyxBzN.jpg,2p1fiYHYiXz9qi0JJyxBzN
67,Moby,70,857972,"downtempo, electronic",3OsRAKCvk37zwYcnzRf5XF.jpg,3OsRAKCvk37zwYcnzRf5XF
68,Kendrick Lamar,87,10042932,"hip hop, pop rap, rap, west coast rap",2YZyLoL8N0Wb9xBt1NhZWg.jpg,2YZyLoL8N0Wb9xBt1NhZWg
69,FKA twigs,61,411748,"art pop, electropop, escape room, indie r&b, indietronica, pop, trip hop",6nB0iY1cjSY1KyhYyuIIKH.jpg,6nB0iY1cjSY1KyhYyuIIKH
70,T.I.,75,2437036,"dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music",4OBJLual30L7gRl5UkeRcT.jpg,4OBJLual30L7gRl5UkeRcT
71,Kid Cudi,74,2543028,"hip hop, indie r&b, pop rap, rap",0fA0VVWsXO9YnASrzqfmYu.jpg,0fA0VVWsXO9YnASrzqfmYu
72,BlocBoy JB,78,325059,"pop, pop rap, rap, southern hip hop, trap music",4TEJudQY2pXxVHPE3gD2EU.jpg,4TEJudQY2pXxVHPE3gD2EU
73,Rod Stewart,69,852017,"adult standards, mellow gold, rock, soft rock",2y8Jo9CKhJvtfeKOsYzRdT.jpg,2y8Jo9CKhJvtfeKOsYzRdT
74,Miguel,80,1760041,"dance pop, indie r&b, pop, pop rap, r&b, rap",360IAlyVv4PCEVjgyMZrxK.jpg,360IAlyVv4PCEVjgyMZrxK
75,Mark Ronson,70,424498,pop,3hv9jJF3adDNsBSIQDqcjp.jpg,3hv9jJF3adDNsBSIQDqcjp
76,Aaron Lewis,57,184682,"alternative metal, contemporary country, country, country road, modern country rock, post-grunge, redneck",2t2XKfWKLXpFIjFwy1K8wx.jpg,2t2XKfWKLXpFIjFwy1K8wx
77,Willie Nelson,66,646485,"country, nashville sound, outlaw country, singer-songwriter, texas country, traditional country",5W5bDNCqJ1jbCgTxDD0Cb3.jpg,5W5bDNCqJ1jbCgTxDD0Cb3
78,Aaron Watson,56,99579,"contemporary country, country, country road, deep texas country, modern country rock, outlaw country, texas country",5BKzvAPtNXnt0LwzGvKOH3.jpg,5BKzvAPtNXnt0LwzGvKOH3
79,ABBA,74,1190773,"europop, swedish pop",0LcJLqbBmaGUft1e9Mm8HV.jpg,0LcJLqbBmaGUft1e9Mm8HV
80,Above & Beyond,63,419308,"edm, progressive house, progressive trance, trance, uplifting trance",10gzBoINW3cLJfZUka8Zoe.jpg,10gzBoINW3cLJfZUka8Zoe
81,Richard Bedford,52,1321,,5JbD3IL6449LrMT8ct6KTB.jpg,5JbD3IL6449LrMT8ct6KTB
82,Zoe Johnston,50,3905,,3dWyWwLvZWsWtXZHhmAiFL.jpg,3dWyWwLvZWsWtXZHhmAiFL
83,Justine Suissa,44,1342,,6UKSvQC8EQZUOKtUaj5uCj.jpg,6UKSvQC8EQZUOKtUaj5uCj
84,AC/DC,79,7761308,"album rock, australian rock, hard rock, rock",711MCceyCBcFnzjGY4Q7Un.jpg,711MCceyCBcFnzjGY4Q7Un
85,Ace Frehley,41,61750,"album rock, glam metal, hard rock, metal, rock, sleaze rock",62olK5zZHSgFUXGDykgBL8.jpg,62olK5zZHSgFUXGDykgBL8
86,Action Bronson,61,387912,"east coast hip hop, hip hop, pop rap, rap, southern hip hop, underground hip hop",7BMccF0hQFBpP6417k1OtQ.jpg,7BMccF0hQFBpP6417k1OtQ
87,Chance the Rapper,80,3364331,"hip hop, indie r&b, pop, pop rap, rap",1anyVhU62p31KFi8MEzkbf.jpg,1anyVhU62p31KFi8MEzkbf
88,Dan Auerbach,59,172689,"blues-rock, folk-pop, funk, garage rock, indie folk, indie pop, indie rock, modern blues, modern rock, new americana, stomp and holler",6YWdHD3R863Apw1hkx3BwC.jpg,6YWdHD3R863Apw1hkx3BwC
89,Black Atlass,55,26695,"indie r&b, trap soul",7AbKOHOvn27dK0FOiboAno.jpg,7AbKOHOvn27dK0FOiboAno
90,Party Supplies,34,2767,,01UiJrY48IXhhPHIVUQpGw.jpg,01UiJrY48IXhhPHIVUQpGw
91,Adam Lambert,60,728905,"australian pop, dance pop, idol, pop, post-teen pop",6prmLEyn4LfHlD9NnXWlf7.jpg,6prmLEyn4LfHlD9NnXWlf7
92,Laleh,56,625973,"classic swedish pop, swedish folk pop, swedish idol pop, swedish pop",62QZPjYQMoo5g56FP9Webq.jpg,62QZPjYQMoo5g56FP9Webq
93,Adam Levine,67,581297,neo mellow,4bYPcJP5jwMhSivRcqie2n.jpg,4bYPcJP5jwMhSivRcqie2n
94,Javier Colon,36,15310,,3flTDj1VSZCktpBGZlNutt.jpg,3flTDj1VSZCktpBGZlNutt
95,Tony Lucca,31,8347,"acoustic pop, deep talent show, neo mellow",25JN9vPFGeYAhoaYyVGuwC.jpg,25JN9vPFGeYAhoaYyVGuwC
96,Addison Agen,13,5292,,6HIK2qYmw1qzQCrEixfkiE.jpg,6HIK2qYmw1qzQCrEixfkiE
97,Adele,80,10388170,pop,4dpARuHxo51G3z768sgnrY.jpg,4dpARuHxo51G3z768sgnrY
98,AFI,60,403183,"alternative metal, emo, modern rock, pop punk, punk, screamo, skate punk",19I4tYiChJoxEO5EuviXpz.jpg,19I4tYiChJoxEO5EuviXpz
99,Aimee Mann,47,95342,"alternative pop, folk, folk-pop, lilith, new wave pop, permanent wave, pop rock",3UpIbyXfGzmHG6TMH4dJEk.jpg,3UpIbyXfGzmHG6TMH4dJEk
100,AJR,73,417428,modern rock,6s22t5Y3prQHyaHWUN1R1C.jpg,6s22t5Y3prQHyaHWUN1R1C
101,Lil Yachty,82,3566904,"pop, pop rap, rap, southern hip hop, trap music",6icQOAFXDZKsumw3YXyusw.jpg,6icQOAFXDZKsumw3YXyusw
102,Rivers Cuomo,62,15490,,4LAz9VRX8Nat9kvIzgkg2v.jpg,4LAz9VRX8Nat9kvIzgkg2v
103,Jess Glynne,79,931971,"dance pop, pop, post-teen pop, tropical house",4ScCswdRlyA23odg9thgIO.jpg,4ScCswdRlyA23odg9thgIO
104,Macklemore,77,1061197,pop rap,3JhNCzhSMTxs9WLGJJxWOY.jpg,3JhNCzhSMTxs9WLGJJxWOY
105,Dan Caplen,74,13636,neo soul,2U3FuHYvL3vhkbDAXm24Ep.jpg,2U3FuHYvL3vhkbDAXm24Ep
106,Alabama,60,366289,"contemporary country, country, country road, country rock, traditional country",6rJqqRce0Kvo2dJUXoHleC.jpg,6rJqqRce0Kvo2dJUXoHleC
107,Alabama Shakes,62,1098983,"folk-pop, funk, indie pop, modern rock, stomp and holler",16GcWuvvybAoaHr0NqT8Eh.jpg,16GcWuvvybAoaHr0NqT8Eh
108,Alan Jackson,69,778719,"contemporary country, country, country road",4mxWe1mtYIYfP040G38yvS.jpg,4mxWe1mtYIYfP040G38yvS
109,Jimmy Buffett,65,190255,"folk rock, mellow gold, rock, soft rock",28AyklUmMECPwdfo8NEsV0.jpg,28AyklUmMECPwdfo8NEsV0
110,George Jones,58,316972,"country, country gospel, country rock, nashville sound, outlaw country, traditional country",2OpqcUtj10HHvGG6h9VYC5.jpg,2OpqcUtj10HHvGG6h9VYC5
111,Vince Gill,57,210528,"contemporary country, country, country gospel, country rock, nashville sound, traditional country",3IhWQSrLj8EJjdvjFTpCyo.jpg,3IhWQSrLj8EJjdvjFTpCyo
112,Patty Loveless,49,121433,"contemporary country, country, country dawn, country gospel, country rock, nashville sound, traditional country",6SFUC6ORDCIBqPssCBpeHT.jpg,6SFUC6ORDCIBqPssCBpeHT
113,Garth Brooks,48,496679,"contemporary country, country, country road",4BclNkZtAUq1YrYNzye3N7.jpg,4BclNkZtAUq1YrYNzye3N7
114,Clint Black,55,251863,"contemporary country, country, country gospel, country road, country rock, nashville sound, outlaw country, traditional country",3Ay15wt0QChT4Kapsuw5Jt.jpg,3Ay15wt0QChT4Kapsuw5Jt
115,Travis Tritt,60,388240,"contemporary country, country, country road, country rock, traditional country",2M4Yt7oKGoYd0wqU44k4i2.jpg,2M4Yt7oKGoYd0wqU44k4i2
116,Joe Diffie,55,169017,"contemporary country, country, country gospel, country road, country rock, outlaw country, redneck, traditional country",3THMgU4KdL7LlO5TEREs2g.jpg,3THMgU4KdL7LlO5TEREs2g
117,Pam Tillis,48,96558,"contemporary country, country, country dawn, country gospel, nashville sound, traditional country",1SX44N5qjWuFcCK8WTO0c6.jpg,1SX44N5qjWuFcCK8WTO0c6
118,T. Graham Brown,43,21192,"country, country gospel, nashville sound, traditional country",0UMJlMGr85C0C5D7wmB0Ik.jpg,0UMJlMGr85C0C5D7wmB0Ik
119,Alessia Cara,79,3499287,"dance pop, pop, post-teen pop",2wUjUUtkb5lvLKcGKsKqsR.jpg,2wUjUUtkb5lvLKcGKsKqsR
120,Sebastian Kole,49,9042,,2Ve76xf8WEVRRfanpQHgLs.jpg,2Ve76xf8WEVRRfanpQHgLs
121,Alesso,73,2079431,"big room, dance pop, edm, electro house, pop, progressive electro house, tropical house",4AVFqumd2ogHFlRbKIjp1t.jpg,4AVFqumd2ogHFlRbKIjp1t
122,Florida Georgia Line,81,1906900,"contemporary country, country road, modern country rock",3b8QkneNDz4JHKKKlLgYZg.jpg,3b8QkneNDz4JHKKKlLgYZg
123,watt,66,10299,modern alternative rock,4olE3I5QU0dvSR7LIpqTXc.jpg,4olE3I5QU0dvSR7LIpqTXc
124,Anitta,81,5718254,baile pop,7FNnA9vBm6EKceENgCGRMb.jpg,7FNnA9vBm6EKceENgCGRMb
125,Hurts,58,215376,"metropopolis, neo-synthpop",3w4VAlllkAWI6m0AV0Gn6a.jpg,3w4VAlllkAWI6m0AV0Gn6a
126,Tove Lo,74,1523571,"dance pop, electropop, metropopolis, pop, post-teen pop, swedish electropop, swedish pop, swedish synthpop",4NHQUGzhtTLFvgF5SZesLK.jpg,4NHQUGzhtTLFvgF5SZesLK
127,Nico & Vinz,63,348317,"dance pop, pop rap",0awl5piYwO0CDTHEkCjUhn.jpg,0awl5piYwO0CDTHEkCjUhn
128,Coldplay,84,13363048,"permanent wave, pop",4gzpq5DPGxSnKTe4SA8HAU.jpg,4gzpq5DPGxSnKTe4SA8HAU
129,3LAU,61,217952,"big room, edm, electro house, electronic trap, mashup, pop, progressive electro house, progressive house, tropical house, tropical pop edm",4YLQaW1UU3mrVetC8gNkg5.jpg,4YLQaW1UU3mrVetC8gNkg5
130,Alex & Sierra,65,475265,"australian pop, neo mellow, pop, post-teen pop, viral pop",58MLl9nC29IXbE4nEtuoP2.jpg,58MLl9nC29IXbE4nEtuoP2
131,Alice Cooper,61,987499,"album rock, classic rock, comic, glam metal, glam rock, hard rock, metal, protopunk, rock",3EhbVgyfGd7HkpsagwL9GS.jpg,3EhbVgyfGd7HkpsagwL9GS
132,Alice Merton,62,105885,,7f0OLhGgBMX9fUjm1dcPip.jpg,7f0OLhGgBMX9fUjm1dcPip
133,Alicia Keys,74,4755546,"hip pop, neo soul, pop, r&b, urban contemporary",3DiDSECUqqY1AuBP8qtaIa.jpg,3DiDSECUqqY1AuBP8qtaIa
134,Alisan Porter,31,9223,,3Yw2flLUwQIZgpA2qSNj30.jpg,3Yw2flLUwQIZgpA2qSNj30
135,Mara Davi,17,11,,5MjwlsKKvPzKMU30FxPANt.jpg,5MjwlsKKvPzKMU30FxPANt
136,Lacy Mandigo,10,51,,7Bi7p6ZbA5BaqTpy3wlszg.jpg,7Bi7p6ZbA5BaqTpy3wlszg
137,Alison Krauss,58,146631,"bluegrass, folk, lilith, progressive bluegrass",5J6L7N6B4nI1M5cwa29mQG.jpg,5J6L7N6B4nI1M5cwa29mQG
138,Earl Scruggs,41,14709,"appalachian folk, banjo, bluegrass, progressive bluegrass",4NEA48c6ajydrRzCbyll3M.jpg,4NEA48c6ajydrRzCbyll3M
139,Merle Haggard,57,383580,"country, country gospel, country rock, nashville sound, outlaw country, southern rock, traditional country",2ptmyXoL7poH6Zq62h1QT9.jpg,2ptmyXoL7poH6Zq62h1QT9
140,Emmylou Harris,56,140829,"country rock, folk, folk rock, folk-pop, lilith, melancholia, mellow gold, nashville sound, roots rock, singer-songwriter, traditional country, traditional folk",5s6TJEuHTr9GR894wc6VfP.jpg,5s6TJEuHTr9GR894wc6VfP
141,Ricky Skaggs,45,34377,"bluegrass, country, country gospel, country rock, nashville sound, old-time, progressive bluegrass, traditional country",0uNC9XuH437fKCCMuzvSks.jpg,0uNC9XuH437fKCCMuzvSks
142,Randy Travis,59,399142,"contemporary country, country, country gospel, country road, country rock, nashville sound, outlaw country, traditional country",1pTuR132U5b4Rizal2Pr7m.jpg,1pTuR132U5b4Rizal2Pr7m
143,Dwight Yoakam,56,182572,"country, country rock, nashville sound, outlaw country, texas country, traditional country",2sxmKe3CUrWnx7eoXMhOlW.jpg,2sxmKe3CUrWnx7eoXMhOlW
144,Gillian Welch,52,94117,"alternative country, country rock, folk, folk rock, folk-pop, indie folk, lilith, melancholia, new americana, progressive bluegrass, roots rock, singer-songwriter, stomp and holler, traditional folk",2H5elA2mJKrHmqkN9GSfkz.jpg,2H5elA2mJKrHmqkN9GSfkz
145,All That Remains,59,474932,"alternative metal, groove metal, melodic death metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock",2zgG1GPDvjaBgxeQaVXI14.jpg,2zgG1GPDvjaBgxeQaVXI14
146,All Time Low,69,1646187,"modern rock, pop punk, post-teen pop",46gyXjRIvN1NL1eCB8GBxo.jpg,46gyXjRIvN1NL1eCB8GBxo
147,alt-J,71,1961687,indie rock,3XHO7cRUPCLOr6jwp8vsx5.jpg,3XHO7cRUPCLOr6jwp8vsx5
148,Alter Bridge,60,482916,"alternative metal, nu metal, post-grunge, rap metal, rock",4DWX7u8BV0vZIQSpJQQDWU.jpg,4DWX7u8BV0vZIQSpJQQDWU
149,AlunaGeorge,67,315874,"electropop, house, indie r&b, indietronica, pop, tropical house",2VAnyOxzJuSAj7XIuEOT38.jpg,2VAnyOxzJuSAj7XIuEOT38
150,GoldLink,70,358621,"hip hop, indie r&b, pop rap, rap, underground hip hop",5XenQ7XfcvQdfIbpLEFaKQ.jpg,5XenQ7XfcvQdfIbpLEFaKQ
151,Popcaan,66,206247,"dancehall, reggae fusion",62DmErcU7dqZbJaDqwsqzR.jpg,62DmErcU7dqZbJaDqwsqzR
152,Tchami,60,199916,"deep groove house, edm, electro house, electronic trap, house, progressive house, tropical house",1KpCi9BOfviCVhmpI4G2sY.jpg,1KpCi9BOfviCVhmpI4G2sY
153,Shadow Child,46,31378,"deep disco house, deep groove house, deep house, house, minimal tech house, speed garage",0tMr0e1EQZ0Vci7EHz2bM9.jpg,0tMr0e1EQZ0Vci7EHz2bM9
154,Amanda Cook,56,49755,"anthem worship, canadian ccm, worship",53Gnd3lGlcL8ua9Yyu9xDP.jpg,53Gnd3lGlcL8ua9Yyu9xDP
155,Bethel Music,69,559803,"deep ccm, worship",26T4yOaOoFJvUvxR87Y9HO.jpg,26T4yOaOoFJvUvxR87Y9HO
156,American Authors,65,568331,"brooklyn indie, modern rock, neo mellow, pop, pop rock",0MlOPi3zIDMVrfA9R04Fe3.jpg,0MlOPi3zIDMVrfA9R04Fe3
157,Aminé,69,585961,"hip hop, indie r&b, pop, pop rap, rap",3Gm5F95VdRxW3mqCn8RPBJ.jpg,3Gm5F95VdRxW3mqCn8RPBJ
158,Kehlani,81,1588708,"dance pop, indie r&b, pop, post-teen pop, r&b",0cGUm45nv7Z6M6qdXYQGTX.jpg,0cGUm45nv7Z6M6qdXYQGTX
159,Injury Reserve,55,55791,"alternative hip hop, escape room, hip hop, indie r&b, rap, underground hip hop",3nf2EaHj8HikLNdaiW3v73.jpg,3nf2EaHj8HikLNdaiW3v73
160,Dana Williams,53,8685,,4rljPSpCHQzUJMNOvmw1DL.jpg,4rljPSpCHQzUJMNOvmw1DL
161,Nelly,72,1082038,"dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary",2gBjLmx6zQnFGQJCAQpRgw.jpg,2gBjLmx6zQnFGQJCAQpRgw
162,Amon Amarth,60,393761,"alternative metal, death metal, groove metal, melodic death metal, metal, power metal, swedish death metal, swedish metal, viking metal",3pulcT2wt7FEG10lQlqDJL.jpg,3pulcT2wt7FEG10lQlqDJL
163,Amos Lee,57,245621,"acoustic pop, folk-pop, indie folk, lilith, neo mellow, pop rock",0QrowybipCKUDnq5y10PD2.jpg,0QrowybipCKUDnq5y10PD2
164,Amy Grant,48,85960,"ccm, christian alternative rock, christian music",72Nhcx7prNk2ZCxhx0Y5es.jpg,72Nhcx7prNk2ZCxhx0Y5es
