Source,Target,Type,Id,Weight,label1,label2,name1,name2,id_track,label_track,title,explicit,popularity,release_date,release_date_precision
1,12,Undirected,61,8,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,2 Chainz,Big Sean,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,12,Undirected,61,8,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,2 Chainz,Big Sean,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,12,Undirected,61,8,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,2 Chainz,Big Sean,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,12,Undirected,61,8,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,2 Chainz,Big Sean,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,11,Undirected,60,10,17lzZA2AlOHwCwFALHttmp,13y7CgLHjMVRMDqxdx0Xdo,2 Chainz,Gucci Mane,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,11,Undirected,60,10,17lzZA2AlOHwCwFALHttmp,13y7CgLHjMVRMDqxdx0Xdo,2 Chainz,Gucci Mane,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,11,Undirected,60,10,17lzZA2AlOHwCwFALHttmp,13y7CgLHjMVRMDqxdx0Xdo,2 Chainz,Gucci Mane,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,11,Undirected,60,10,17lzZA2AlOHwCwFALHttmp,13y7CgLHjMVRMDqxdx0Xdo,2 Chainz,Gucci Mane,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,11,Undirected,60,10,17lzZA2AlOHwCwFALHttmp,13y7CgLHjMVRMDqxdx0Xdo,2 Chainz,Gucci Mane,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,841,Undirected,59,6,17lzZA2AlOHwCwFALHttmp,5K4W6rqBFWDnAN6FQUkS6x,2 Chainz,Kanye West,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,841,Undirected,59,6,17lzZA2AlOHwCwFALHttmp,5K4W6rqBFWDnAN6FQUkS6x,2 Chainz,Kanye West,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,841,Undirected,59,6,17lzZA2AlOHwCwFALHttmp,5K4W6rqBFWDnAN6FQUkS6x,2 Chainz,Kanye West,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,10,Undirected,36,4,17lzZA2AlOHwCwFALHttmp,0Y5tJX1MQlPlqiwlOH1tJY,2 Chainz,Travis Scott,6,2nBI3iWLhupR7LyAJ5GGkE,Champions,True,71,10/06/2016,day
1,10,Undirected,36,4,17lzZA2AlOHwCwFALHttmp,0Y5tJX1MQlPlqiwlOH1tJY,2 Chainz,Travis Scott,6,2nBI3iWLhupR7LyAJ5GGkE,Champions,True,71,10/06/2016,day
1,8,Undirected,28,4,17lzZA2AlOHwCwFALHttmp,6vXTefBL93Dj5IqAWq6OTv,2 Chainz,French Montana,5992,6h5yOjQNDaLZ0rW2OGoXTB,Turn Down for What - Official Remix,True,52,19/05/2014,day
1,8,Undirected,28,4,17lzZA2AlOHwCwFALHttmp,6vXTefBL93Dj5IqAWq6OTv,2 Chainz,French Montana,5992,6h5yOjQNDaLZ0rW2OGoXTB,Turn Down for What - Official Remix,True,52,19/05/2014,day
1,1500,Undirected,27,2,17lzZA2AlOHwCwFALHttmp,1mXAhKnZEdF6rotyyd4GBi,2 Chainz,MC Kevinho,4,5RBW30fFFVav2n0IqFj0fY,Olha A Explosão - Remix,False,77,27/04/2018,day
1,50,Undirected,20,2,17lzZA2AlOHwCwFALHttmp,5IcR3N7QB1j6KBL8eImZ8m,2 Chainz,ScHoolboy Q,3,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),True,78,09/02/2018,day
1,6,Undirected,8,2,17lzZA2AlOHwCwFALHttmp,5ZS223C6JyBfXasXxrRqOk,2 Chainz,Jhene Aiko,2,6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,True,78,16/06/2017,day
1,5,Undirected,7,2,17lzZA2AlOHwCwFALHttmp,2iojnBLj0qIMiKPvVhLnsH,2 Chainz,Trey Songz,2,6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,True,78,16/06/2017,day
1,4,Undirected,6,6,17lzZA2AlOHwCwFALHttmp,7c0XG5cIJTrrAgEC3ULPiq,2 Chainz,Ty Dolla $ign,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,4,Undirected,6,6,17lzZA2AlOHwCwFALHttmp,7c0XG5cIJTrrAgEC3ULPiq,2 Chainz,Ty Dolla $ign,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,4,Undirected,6,6,17lzZA2AlOHwCwFALHttmp,7c0XG5cIJTrrAgEC3ULPiq,2 Chainz,Ty Dolla $ign,10600,430Bl42cdlGIWqagDm38sc,"Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)",True,58,20/10/2017,day
1,3,Undirected,1,8,17lzZA2AlOHwCwFALHttmp,0VRj0yCOv2FXJNP47XQnx5,2 Chainz,Quavo,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
